course,semester,academic_year,paper_code,paper_name,paper_url,pdf_url,structured_path,unstructured_path,status,downloaded_at
BTech,2,2022-23,BAS205,Soft Skills,https://ryzenstudy.com/papers/aktu-btech-sem-2-soft-skills-2022-23,https://ryzenstudy.com/uploads/1774895021673-SOFT_SKILLS_BAS205.pdf,BTech\Sem-02\2022-23\BTech__Sem02__2022-23__BAS205__soft-skills.pdf,BTech__Sem02__2022-23__BAS205__soft-skills.pdf,OK,2026-09-07 08:46:55
BTech,2,2023-24,BAS205,Soft Skills,https://ryzenstudy.com/papers/aktu-btech-sem-2-soft-skills-2023-24,https://ryzenstudy.com/uploads/1774895078709-BAS205_SOFT_SKILLS.pdf,BTech\Sem-02\2023-24\BTech__Sem02__2023-24__BAS205__soft-skills.pdf,BTech__Sem02__2023-24__BAS205__soft-skills.pdf,OK,2026-09-07 08:46:58
BTech,2,2024-25,BAS205,Soft Skills,https://ryzenstudy.com/papers/aktu-btech-sem-2-soft-skills-2024-25,https://ryzenstudy.com/uploads/1774895101910-BAS205_SOFT_SKILLS.pdf,BTech\Sem-02\2024-25\BTech__Sem02__2024-25__BAS205__soft-skills.pdf,BTech__Sem02__2024-25__BAS205__soft-skills.pdf,OK,2026-09-07 08:47:02
BTech,3,2021-22,KOE-037,Analog Electronics,https://ryzenstudy.com/papers/aktu-btech-sem-3-analog-electronics-2021-22,https://ryzenstudy.com/uploads/1774895926566-ANALOG_ELECTRONICS_KOE_037.pdf,BTech\Sem-03\2021-22\BTech__Sem03__2021-22__KOE-037__analog-electronics.pdf,BTech__Sem03__2021-22__KOE-037__analog-electronics.pdf,OK,2026-09-07 08:47:05
BTech,3,2022-23,KOE-037,Analog Electronics,https://ryzenstudy.com/papers/aktu-btech-sem-3-analog-electronics-2022-23,https://ryzenstudy.com/uploads/1774896219200-ANALOG_ELECTRONICS_KOE_037__1_.pdf,BTech\Sem-03\2022-23\BTech__Sem03__2022-23__KOE-037__analog-electronics.pdf,BTech__Sem03__2022-23__KOE-037__analog-electronics.pdf,OK,2026-09-07 08:47:08
BTech,3,2023-24,BOE308,Analog Electronics Circuits,https://ryzenstudy.com/papers/aktu-btech-sem-3-analog-electronics-circuits-2023-24,https://ryzenstudy.com/uploads/1774896252108-BOE308_ANALOG_ELECTRONICS_CIRCUITS.pdf,BTech\Sem-03\2023-24\BTech__Sem03__2023-24__BOE308__analog-electronics-circuits.pdf,BTech__Sem03__2023-24__BOE308__analog-electronics-circuits.pdf,OK,2026-09-07 08:47:10
BTech,3,2023-24,BOE302,Automation And Robotics,https://ryzenstudy.com/papers/aktu-btech-sem-3-automation-and-robotics-2023-24,https://ryzenstudy.com/uploads/1774896251160-BOE302_AUTOMATION_AND_ROBOTICS.pdf,BTech\Sem-03\2023-24\BTech__Sem03__2023-24__BOE302__automation-and-robotics.pdf,BTech__Sem03__2023-24__BOE302__automation-and-robotics.pdf,OK,2026-09-07 08:47:13
BTech,3,2024-25,BOE302,Automation And Robotics,https://ryzenstudy.com/papers/aktu-btech-sem-3-automation-and-robotics-2024-25,https://ryzenstudy.com/uploads/1774896266493-BOE302_AUTOMATION_AND_ROBOTICS.pdf,BTech\Sem-03\2024-25\BTech__Sem03__2024-25__BOE302__automation-and-robotics.pdf,BTech__Sem03__2024-25__BOE302__automation-and-robotics.pdf,OK,2026-09-07 08:47:17
BTech,3,2022-23,KOE-035,Basic Data Structure Algorithms,https://ryzenstudy.com/papers/aktu-btech-sem-3-basic-data-structure-algorithms-2022-23,https://ryzenstudy.com/uploads/1774896219410-BASIC_DATA_STRUCTURE_ALGORITHMS_KOE_035.pdf,BTech\Sem-03\2022-23\BTech__Sem03__2022-23__KOE-035__basic-data-structure-algorithms.pdf,BTech__Sem03__2022-23__KOE-035__basic-data-structure-algorithms.pdf,OK,2026-09-07 08:47:20
BTech,3,2021-22,KOE-035,Basic Data Structure And Algorithms,https://ryzenstudy.com/papers/aktu-btech-sem-3-basic-data-structure-and-algorithms-2021-22,https://ryzenstudy.com/uploads/1774895926808-BASIC_DATA_STRUCTURE_AND_ALGORITHMS_KOE_035.pdf,BTech\Sem-03\2021-22\BTech__Sem03__2021-22__KOE-035__basic-data-structure-and-algorithms.pdf,BTech__Sem03__2021-22__KOE-035__basic-data-structure-and-algorithms.pdf,OK,2026-09-07 08:47:23
