course,semester,academic_year,paper_code,paper_name,paper_url,pdf_url,structured_path,unstructured_path,status,downloaded_at
BARCH,3,2014-15,NAR306,architectural services,https://www.aktuonline.com/papers/barch-3-sem-architectural-services-nar-306-2015.html,https://www.aktuonline.com/papers/barch-3-sem-architectural-services-nar-306-2015.pdf,,corpus/aktuonline3/barch-3-sem-architectural-services-nar-306-2015.pdf,OK,2026-09-20T15:42:10+00:00
BARCH,3,2020-21,RAR801,architecture design 7,https://www.aktuonline.com/papers/barch-3-sem-architecture-design-7-rar801-2021.html,https://www.aktuonline.com/papers/barch-3-sem-architecture-design-7-rar801-2021.pdf,,corpus/aktuonline3/barch-3-sem-architecture-design-7-rar801-2021.pdf,OK,2026-09-20T15:42:14+00:00
BARCH,3,2014-15,NAR305,art and graphics 3,https://www.aktuonline.com/papers/barch-3-sem-art-and-graphics-3-nar-305-2015.html,https://www.aktuonline.com/papers/barch-3-sem-art-and-graphics-3-nar-305-2015.pdf,,corpus/aktuonline3/barch-3-sem-art-and-graphics-3-nar-305-2015.pdf,OK,2026-09-20T15:42:17+00:00
BARCH,3,2014-15,AR305,arts and graphics 3,https://www.aktuonline.com/papers/barch-3-sem-arts-and-graphics-3-ar-305-2015.html,https://www.aktuonline.com/papers/barch-3-sem-arts-and-graphics-3-ar-305-2015.pdf,,corpus/aktuonline3/barch-3-sem-arts-and-graphics-3-ar-305-2015.pdf,OK,2026-09-20T15:42:20+00:00
BARCH,3,2020-21,NAR305,arts and graphics 3,https://www.aktuonline.com/papers/barch-3-sem-arts-and-graphics-3-nar305-2021.html,https://www.aktuonline.com/papers/barch-3-sem-arts-and-graphics-3-nar305-2021.pdf,,corpus/aktuonline3/barch-3-sem-arts-and-graphics-3-nar305-2021.pdf,OK,2026-09-20T15:42:24+00:00
BARCH,3,2014-15,NAR302,construction and material,https://www.aktuonline.com/papers/barch-3-sem-construction-and-material-nar-302-2015.html,https://www.aktuonline.com/papers/barch-3-sem-construction-and-material-nar-302-2015.pdf,,corpus/aktuonline3/barch-3-sem-construction-and-material-nar-302-2015.pdf,OK,2026-09-20T15:42:27+00:00
BARCH,3,2014-15,NAR307,history of architecture 2,https://www.aktuonline.com/papers/barch-3-sem-history-of-architecture-2-nar-307-2015.html,https://www.aktuonline.com/papers/barch-3-sem-history-of-architecture-2-nar-307-2015.pdf,,corpus/aktuonline3/barch-3-sem-history-of-architecture-2-nar-307-2015.pdf,OK,2026-09-20T15:42:30+00:00
BARCH,4,2014-15,AR401,architectural design 4,https://www.aktuonline.com/papers/barch-4-sem-architectural-design-4-ar-401-2015.html,https://www.aktuonline.com/papers/barch-4-sem-architectural-design-4-ar-401-2015.pdf,,corpus/aktuonline3/barch-4-sem-architectural-design-4-ar-401-2015.pdf,OK,2026-09-20T15:42:34+00:00
BARCH,4,2014-15,NAR406,architectural service 3,https://www.aktuonline.com/papers/barch-4-sem-architectural-service-3-nar406-2015.html,https://www.aktuonline.com/papers/barch-4-sem-architectural-service-3-nar406-2015.pdf,,corpus/aktuonline3/barch-4-sem-architectural-service-3-nar406-2015.pdf,OK,2026-09-20T15:42:37+00:00
BARCH,4,2014-15,AR403,architectural structures 4,https://www.aktuonline.com/papers/barch-4-sem-architectural-structures-4-ar403-2015.html,https://www.aktuonline.com/papers/barch-4-sem-architectural-structures-4-ar403-2015.pdf,,corpus/aktuonline3/barch-4-sem-architectural-structures-4-ar403-2015.pdf,OK,2026-09-20T15:42:40+00:00
BARCH,4,2014-15,NAR405,art and graphics 4,https://www.aktuonline.com/papers/barch-4-sem-art-and-graphics-4-nar-405-2015.html,https://www.aktuonline.com/papers/barch-4-sem-art-and-graphics-4-nar-405-2015.pdf,,corpus/aktuonline3/barch-4-sem-art-and-graphics-4-nar-405-2015.pdf,OK,2026-09-20T15:42:44+00:00
BARCH,4,2014-15,NAR405,arts and graphics 4,https://www.aktuonline.com/papers/barch-4-sem-arts-and-graphics-4-nar405-2015.html,https://www.aktuonline.com/papers/barch-4-sem-arts-and-graphics-4-nar405-2015.pdf,,corpus/aktuonline3/barch-4-sem-arts-and-graphics-4-nar405-2015.pdf,OK,2026-09-20T15:42:47+00:00
BARCH,4,2006-07,AR406,building services water supply,https://www.aktuonline.com/papers/barch-4-sem-building-services-water-supply-ar-406-2007.html,https://www.aktuonline.com/papers/barch-4-sem-building-services-water-supply-ar-406-2007.pdf,,corpus/aktuonline3/barch-4-sem-building-services-water-supply-ar-406-2007.pdf,OK,2026-09-20T15:42:50+00:00
BARCH,4,2014-15,AR405,climatology,https://www.aktuonline.com/papers/barch-4-sem-climatology-ar405-2015.html,https://www.aktuonline.com/papers/barch-4-sem-climatology-ar405-2015.pdf,,corpus/aktuonline3/barch-4-sem-climatology-ar405-2015.pdf,OK,2026-09-20T15:42:53+00:00
BARCH,4,2014-15,NAR402,construction and material 4,https://www.aktuonline.com/papers/barch-4-sem-construction-and-material-4-nar402-2015.html,https://www.aktuonline.com/papers/barch-4-sem-construction-and-material-4-nar402-2015.pdf,,corpus/aktuonline3/barch-4-sem-construction-and-material-4-nar402-2015.pdf,OK,2026-09-20T15:42:56+00:00
